datetime,status
2018-09-12 10:56:16:,56.4
2018-09-12 10:56:17:,56.3
2018-09-12 10:56:18:,56.3
2018-09-12 10:56:19:,56.5
2018-09-12 10:56:20:,56.4
2018-09-12 10:56:21:,0
2018-09-12 10:56:22:,57.0
2018-09-12 10:56:23:,56.4
2018-09-12 10:56:24:,56.4
2018-09-12 10:56:25:,56.3
2018-09-12 10:56:26:,0
2018-09-12 10:56:27:,0
2018-09-12 10:56:28:,56.3
2018-09-12 10:56:29:,57.7
2018-09-12 10:56:30:,0
2018-09-12 10:56:31:,0
2018-09-12 10:56:32:,0
2018-09-12 10:56:33:,56.3
2018-09-12 10:56:34:,56.4
2018-09-12 10:56:35:,56.4
2018-09-12 10:56:36:,56.3
2018-09-12 10:56:37:,56.4
2018-09-12 10:56:38:,0
2018-09-12 10:56:39:,0
2018-09-12 10:56:40:,0
2018-09-12 10:56:41:,0
2018-09-12 10:56:42:,56.7
2018-09-12 10:56:43:,0
2018-09-12 10:56:44:,0
2018-09-12 10:56:45:,0
